feature_index,importance
0,0.011775720181863118
1,0.020826951656403195
2,0.024018731652995243
3,0.02023545427219811
4,0.016423395320376948
5,0.012410686584461776
6,0.026339280830273717
7,0.006844037134775766
8,0.006969702018670059
9,0.011963520480627583
10,0.012139347492371631
11,0.008575119761459164
12,0.007317570338739729
13,0.01296890599700498
14,0.007572171147431997
15,0.007999116951817218
16,0.008196717904591096
17,0.04272531516357628
18,0.010385779946381797
19,0.02345756604345314
20,0.012943252202254533
21,0.01198036413426392
22,0.009222348559678052
23,0.0206150187161893
24,0.03042578246251193
25,0.010746266164151301
26,0.02137033067740234
27,0.009117847906827653
28,0.011800135304082242
29,0.010666919299079638
30,0.02017034284256235
31,0.04271787799642317
32,0.007947852980357958
33,0.011798122623927211
34,0.015373880410161215
35,0.007742044059798284
36,0.012424741965469981
37,0.019750595994378912
38,0.005813331101102159
39,0.010871007396183983
40,0.008540078636318043
41,0.00791216010776842
42,0.014386224754223012
43,0.00966429229461627
44,0.03914423230946164
45,0.007874729139129065
46,0.011027557914717389
47,0.055703930002315306
48,0.008792725444052773
49,0.009950412164560146
50,0.01833171059078743
51,0.008309816505719143
52,0.02758904226875542
53,0.018737894423819318
54,0.01283490957273335
55,0.009638741787879865
56,0.010819412918262357
57,0.015245801796043963
58,0.018902859771995673
59,0.022704037680562904
60,0.009189571331356984
61,0.012589785982373885
62,0.028378617388792753
63,0.01108830153747622
